date,open,high,low,close,volume
2023-11-01T15:11:00+05:30,2301.3,2301.4,2299.95,2300.15,30782
2023-11-01T15:12:00+05:30,2299.95,2300.15,2298.95,2298.95,19126
2023-11-01T15:13:00+05:30,2298.95,2299.8,2298.35,2299.8,22447
2023-11-01T15:14:00+05:30,2299.75,2300.05,2299.75,2299.8,29441
2023-11-01T15:15:00+05:30,2299.8,2299.85,2295.75,2296.55,65376
2023-11-01T15:16:00+05:30,2297.2,2297.2,2296.4,2296.4,27497
2023-11-01T15:17:00+05:30,2296.45,2296.65,2295.0,2295.2,37375
2023-11-01T15:18:00+05:30,2295.25,2295.55,2294.0,2295.3,29673
2023-11-01T15:19:00+05:30,2295.25,2295.3,2294.45,2294.5,23953
2023-11-01T15:20:00+05:30,2294.5,2294.5,2293.0,2293.1,33349
2023-11-01T15:21:00+05:30,2293.15,2293.8,2293.0,2293.8,30493
2023-11-01T15:22:00+05:30,2293.75,2294.25,2293.75,2294.1,21675
2023-11-01T15:23:00+05:30,2294.1,2294.1,2293.85,2293.85,27582
2023-11-01T15:24:00+05:30,2293.85,2293.9,2292.0,2293.7,22615
2023-11-01T15:25:00+05:30,2293.7,2294.8,2293.65,2294.4,15819
2023-11-01T15:26:00+05:30,2294.1,2294.8,2294.1,2294.1,27434
2023-11-01T15:27:00+05:30,2294.2,2294.95,2294.0,2294.95,22953
2023-11-01T15:28:00+05:30,2294.8,2295.15,2294.0,2294.9,22788
2023-11-01T15:29:00+05:30,2294.9,2294.9,2294.05,2294.7,8703
2023-11-02T09:15:00+05:30,2313.95,2315.1,2310.65,2315.1,132630
2023-11-02T09:16:00+05:30,2314.6,2314.6,2312.6,2313.3,30332
2023-11-02T09:17:00+05:30,2313.3,2314.95,2313.3,2314.75,22968
2023-11-02T09:18:00+05:30,2314.8,2315.95,2314.15,2314.75,45521
2023-11-02T09:19:00+05:30,2314.6,2314.85,2313.9,2314.85,21287
2023-11-02T09:20:00+05:30,2314.35,2315.8,2314.35,2315.0,20844
2023-11-02T09:21:00+05:30,2315.75,2317.35,2315.05,2317.05,15585
2023-11-02T09:22:00+05:30,2317.35,2319.75,2317.05,2319.35,33675
2023-11-02T09:23:00+05:30,2319.35,2319.85,2317.5,2317.95,48620
2023-11-02T09:24:00+05:30,2317.85,2318.6,2317.05,2318.5,39241
2023-11-02T09:25:00+05:30,2318.6,2318.6,2315.0,2315.45,20517
2023-11-02T09:26:00+05:30,2315.5,2317.05,2315.0,2316.25,15239
2023-11-02T09:27:00+05:30,2317.1,2317.15,2315.2,2315.55,14202
2023-11-02T09:28:00+05:30,2315.5,2316.6,2314.85,2316.0,25971
2023-11-02T09:29:00+05:30,2315.6,2317.15,2315.6,2316.4,11713
2023-11-02T09:30:00+05:30,2316.75,2318.15,2316.65,2316.75,26109
2023-11-02T09:31:00+05:30,2316.95,2317.0,2315.1,2316.2,13137
2023-11-02T09:32:00+05:30,2316.0,2316.5,2315.0,2316.0,10210
2023-11-02T09:33:00+05:30,2316.65,2317.3,2315.05,2315.05,20692
2023-11-02T09:34:00+05:30,2315.5,2317.0,2315.05,2316.15,13615
2023-11-02T09:35:00+05:30,2316.15,2317.0,2316.1,2316.2,14378
2023-11-02T09:36:00+05:30,2316.2,2316.4,2314.0,2314.9,23162
